City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,zaysan,KZ,2021-09-27 03:20:10,47.4667,84.8667,47.03,44,53,3.04
271,west bay,KY,2021-09-27 03:24:50,19.3667,-81.4167,84.27,80,20,1.01
272,qaanaaq,GL,2021-09-27 03:24:51,77.484,-69.3632,19.24,59,59,8.59
273,auki,SB,2021-09-27 03:24:51,-8.7676,160.7034,85.53,64,66,2.24
274,airai,TL,2021-09-27 03:24:52,-8.9266,125.4092,80.42,31,56,3.62
275,skibbereen,IE,2021-09-27 03:20:12,51.55,-9.2667,51.6,82,71,15.43
276,harsud,IN,2021-09-27 03:24:53,22.1,76.7333,79.12,88,100,4.63
277,lubao,PH,2021-09-27 03:24:54,14.9167,120.55,89.67,66,11,3.89
278,aykhal,RU,2021-09-27 03:24:54,66.0,111.5,30.79,88,100,19.06
279,cayenne,GF,2021-09-27 03:24:54,4.9333,-52.3333,83.08,79,90,3.0
280,sumbe,AO,2021-09-27 03:24:55,-11.2061,13.8437,69.71,86,38,4.99
281,sembakung,ID,2021-09-27 03:24:55,3.8167,117.25,84.13,67,77,2.01
282,domoni,KM,2021-09-27 03:24:56,-12.2569,44.5319,74.75,76,25,6.2
283,half moon bay,US,2021-09-27 03:24:56,37.4636,-122.4286,62.74,80,90,8.05
284,sterling,US,2021-09-27 03:24:12,39.0062,-77.4286,63.45,80,1,0.0
285,codrington,AU,2021-09-27 03:24:57,-38.2667,141.9667,64.09,53,12,11.83
286,zemio,CF,2021-09-27 03:24:57,5.0314,25.1361,66.52,97,99,0.81
287,tuatapere,NZ,2021-09-27 03:24:58,-46.1333,167.6833,55.81,47,4,4.65
288,rognan,NO,2021-09-27 03:24:58,67.0953,15.3878,59.14,85,62,8.01
289,homer,US,2021-09-27 03:24:59,59.6425,-151.5483,48.09,51,1,5.75
290,bairiki,KI,2021-09-27 03:22:22,1.3292,172.9752,83.95,72,60,14.7
291,gizo,SB,2021-09-27 03:24:59,-8.103,156.8419,84.42,68,100,3.49
292,maumere,ID,2021-09-27 03:25:00,-8.6199,122.2111,83.28,66,99,0.98
293,sao jose da coroa grande,BR,2021-09-27 03:25:00,-8.8978,-35.1478,75.74,85,41,14.05
294,druzhba,UA,2021-09-27 03:25:01,52.0428,33.9453,46.2,81,93,12.17
295,zyryanka,RU,2021-09-27 03:22:16,65.75,150.85,35.78,89,100,16.06
296,riosucio,CO,2021-09-27 03:25:01,5.4216,-75.7032,63.03,95,98,1.81
297,ammon,US,2021-09-27 03:25:03,43.4696,-111.9666,68.5,31,1,1.01
298,necochea,AR,2021-09-27 03:25:04,-38.5473,-58.7368,45.03,72,89,9.13
299,port hedland,AU,2021-09-27 03:25:04,-20.3167,118.5667,89.65,19,7,18.41
300,bambous virieux,MU,2021-09-27 03:25:05,-20.3428,57.7575,72.21,78,75,23.02
